#{"t_start": 1730027363.159436, "env_id": "None"}
r,l,t
40.173439,111,403.724912
48.899116,136,404.251435
0.379875,4,404.34591
43.878182,128,404.842861
45.116392,131,405.326944
44.573831,139,405.819449
43.903365,130,406.353682
10.819496,33,406.527006
0.162129,3,406.617103
39.616824,115,407.038541
45.967392,126,407.508614
4.166983,15,407.64074
2.661283,10,407.75795
26.901987,76,408.053857
5.95107,20,408.200468
51.829542,145,408.718171
2.023958,9,408.825958
43.478257,126,409.303516
42.674309,121,411.726949
37.578701,106,412.118464
42.472159,122,412.561949
5.842843,19,412.70478
47.14059,137,413.197064
44.88321,138,413.692772
49.589633,142,414.246813
43.848737,126,414.707579
-0.5,1,414.791212
15.69822,45,415.003121
54.53193,160,415.636487
44.707041,126,416.121357
135.124615,417,417.564762
7.226577,24,417.721591
141.936055,417,421.534927
4.398679,15,421.66243
47.945102,140,422.243743
49.05103,134,422.730488
49.550995,146,423.288918
4.301965,15,423.425611
26.751159,79,423.831665
50.056271,140,455.893413
51.602703,148,456.437994
3.127597,11,456.553442
46.93592,140,457.077665
6.852042,23,457.227963
44.184274,132,457.750496
49.382592,137,458.25654
47.401132,136,458.748923
-0.155633,2,458.832936
45.034422,132,459.326466
51.841038,147,459.863718
43.495966,132,460.350762
45.806391,136,460.835264
35.893789,105,463.179482
44.082259,126,463.640064
41.594345,123,464.117326
1.566844,7,464.226036
40.996128,126,464.745921
50.378551,143,465.261617
44.956303,127,465.760462
45.037136,136,466.280874
45.456325,136,466.775789
19.855363,58,467.040543
4.636921,16,467.172908
24.242581,70,467.475461
38.170318,111,467.902792
49.119189,133,468.440845
43.155875,118,468.974919
43.409736,119,469.468936
1.476816,7,469.575505
41.586839,119,470.143027
45.005017,137,470.704947
-0.5,1,470.827023
0.206399,3,470.925939
1.238704,6,471.034945
2.453142,11,471.156423
42.851835,122,471.626961
41.831231,123,474.326991
1.579018,7,474.433624
21.107178,58,474.715547
16.543159,48,474.952426
0.191406,3,475.039105
50.979061,144,475.61921
20.360021,57,475.897664
123.118819,369,477.223427
0.051341,3,477.31544
17.675414,51,477.549972
10.188445,31,477.726934
42.064154,123,478.186937
45.593082,126,478.638462
49.120214,140,479.169454
48.283049,144,479.697431
38.946112,109,480.126246
43.905169,129,480.618504
2.002883,9,480.746997
39.878491,110,481.168938
51.503225,153,481.70141
7.045925,22,481.844887
41.57004,117,482.287932
45.614873,129,484.615421
1.572794,8,484.725655
2.26309,9,484.829813
52.155057,144,485.331514
50.375586,143,485.834454
58.345882,162,486.405945
36.570543,107,486.815301
44.491787,128,487.281454
57.335512,158,487.838995
-0.16764,2,487.930583
41.354732,123,488.413679
45.108786,132,488.922493
51.946763,150,489.464458
14.308366,42,489.695507
8.588501,27,489.855998
43.171783,124,490.310543
44.855084,124,490.7631
43.08592,125,491.248881
22.683003,63,491.52213
