#{"t_start": 1729962371.660071, "env_id": "None"}
r,l,t
-0.262874,2,58.272882
-0.239047,2,58.357896
0.661493,6,58.457026
0.180243,4,58.546255
-0.02055,3,58.63716
-0.5,1,58.724783
-0.5,1,58.808407
0.653193,5,58.902174
-0.07,3,58.987255
0.703352,5,59.078614
-0.31778,2,59.165751
-0.284352,2,59.252146
1.537652,8,59.348021
-0.5,1,60.897372
-0.5,1,60.984708
-0.5,1,61.071201
-0.5,1,61.159904
-0.5,1,61.249404
-0.5,1,61.337392
-0.5,1,61.43732
-0.5,1,61.525991
-0.5,1,61.612408
-0.5,1,61.701218
-0.5,1,61.792508
-0.5,1,61.884118
-0.5,1,61.9709
-0.5,1,62.056918
-0.5,1,62.14718
-0.5,1,62.234365
-0.5,1,62.31537
-0.5,1,62.404193
-0.5,1,62.4885
-0.5,1,62.577134
-0.5,1,62.664415
-0.5,1,62.747375
-0.5,1,62.834409
-0.5,1,62.917287
-0.5,1,63.004222
-0.5,1,63.091475
-0.5,1,63.1802
-0.5,1,63.27181
-0.5,1,63.353371
-0.5,1,63.439074
-0.5,1,63.524447
-0.5,1,63.608329
-0.5,1,63.692487
-0.5,1,63.784483
-0.5,1,63.874994
-0.5,1,63.961069
-0.5,1,64.047498
-0.5,1,64.135106
-0.5,1,64.220708
-0.5,1,64.308369
-0.5,1,64.394558
-0.5,1,64.477137
-0.5,1,64.561687
-0.5,1,64.645876
-0.5,1,64.730099
-0.5,1,64.814368
-0.5,1,64.904693
-0.5,1,64.991403
-0.5,1,65.077519
-0.5,1,65.163695
-0.5,1,65.25028
-0.5,1,65.33588
-0.5,1,65.422968
-0.5,1,65.516325
-0.5,1,65.602988
-0.5,1,65.6895
-0.5,1,65.774827
-0.5,1,65.863593
-0.5,1,65.95108
-0.5,1,66.038059
-0.5,1,66.124953
-0.5,1,66.213605
-0.5,1,66.302142
-0.5,1,66.385728
-0.5,1,66.469447
-0.5,1,66.557042
-0.5,1,66.645625
-0.5,1,66.731365
-0.5,1,66.819
-0.5,1,66.902274
-0.5,1,66.987125
-0.5,1,67.07507
-0.5,1,67.163509
-0.5,1,67.248935
-0.5,1,67.335243
-0.5,1,67.419231
-0.5,1,67.505944
-0.5,1,67.596917
-0.5,1,67.682054
-0.5,1,67.770362
-0.5,1,67.857131
-0.5,1,67.945797
-0.5,1,68.034409
-0.5,1,68.12191
-0.5,1,68.208527
-0.5,1,68.294371
-0.5,1,68.378386
-0.5,1,68.476104
-0.5,1,68.562639
-0.5,1,68.647218
-0.5,1,68.731982
-0.5,1,68.815951
-0.5,1,68.906137
-0.5,1,68.995438
-0.5,1,69.080561
-0.5,1,69.16998
-0.5,1,69.265548
-0.5,1,69.357296
-0.5,1,69.793557
-0.5,1,69.88007
